Config,Sequence,Precision,Recall,F1-score,AP@0.5,Success(AUC),FPS,CDR (%)
w/o YOLO,phantom46,0.1529,0.1029,0.123,0.1089,0.1675,76.72,10.29
w/o YOLO,phantom47,0.9334,0.9314,0.9324,0.9307,0.7009,283.91,90.27
w/o YOLO,phantom49,0.2656,0.2697,0.2676,0.2772,0.2649,249.06,25.18
w/o YOLO,phantom50,0.0073,0.0068,0.007,0.0099,0.0383,195.39,0.67
w/o YOLO,phantom51,0.0,0.0,0.0,0.0,0.0413,420.9,0.0
w/o YOLO,phantom54,0.0,0.0,0.0,0.0,0.0051,359.98,0.0
w/o YOLO,phantom55,0.2435,0.2424,0.243,0.2475,0.3261,414.35,24.24
w/o YOLO,phantom56,0.4358,0.4333,0.4345,0.4356,0.3506,413.65,43.33
w/o YOLO,phantom57,0.6039,0.6012,0.6026,0.6139,0.5592,406.68,60.12
w/o YOLO,phantom58,0.175,0.1619,0.1682,0.1683,0.1785,217.99,16.19
w/o YOLO,phantom59,0.6001,0.473,0.5291,0.4752,0.4391,114.61,47.3
w/o YOLO,phantom60,0.1446,0.1094,0.1246,0.1188,0.2795,102.95,10.94
w/o YOLO,phantom61,0.0878,0.0239,0.0376,0.0297,0.0468,38.65,2.39
w/o YOLO,phantom63,0.0311,0.0228,0.0263,0.0297,0.0765,87.64,2.28
w/o YOLO,phantom64,0.039,0.0384,0.0387,0.0495,0.0611,356.48,3.84
w/o YOLO,phantom65,0.6462,0.6334,0.6397,0.6337,0.4943,325.08,63.34
w/o YOLO,phantom66,0.1977,0.1843,0.1908,0.198,0.3549,221.56,18.43
w/o YOLO,phantom68,0.312,0.3083,0.3101,0.3267,0.2964,357.32,30.83
w/o YOLO,phantom70,0.8651,0.8273,0.8458,0.8317,0.6275,273.37,82.73
w/o YOLO,phantom71,0.3521,0.1984,0.2538,0.198,0.1707,62.94,19.84
w/o YOLO,phantom73,0.2498,0.1805,0.2096,0.1881,0.1579,71.31,17.8
w/o YOLO,phantom74,0.0378,0.0294,0.033,0.0396,0.0646,96.67,2.94
w/o YOLO,phantom75,0.0339,0.0256,0.0292,0.0297,0.1498,89.07,2.56
w/o YOLO,phantom76,0.9787,0.5728,0.7227,0.5743,0.4162,65.81,57.01
w/o YOLO,phantom77,0.682,0.6607,0.6712,0.6634,0.5346,300.85,66.07
w/o YOLO,phantom78,0.3727,0.3538,0.363,0.3564,0.3392,176.42,33.63
w/o YOLO,phantom79,0.2406,0.1766,0.2037,0.1782,0.1377,92.65,17.66
w/o YOLO,phantom80,0.5936,0.5424,0.5668,0.5446,0.4219,173.74,54.24
w/o YOLO,phantom81,0.7483,0.7138,0.7306,0.7129,0.5662,232.79,71.38
w/o YOLO,phantom84,0.012,0.0106,0.0112,0.0198,0.0672,155.14,1.06
w/o YOLO,phantom85,0.8093,0.8172,0.8132,0.8119,0.5337,242.56,76.81
w/o YOLO,phantom86,0.1047,0.0929,0.0984,0.099,0.0949,158.6,9.29
w/o LT,phantom02,0.9769,0.9644,0.9706,0.9599,0.7284,241.22,96.44
w/o LT,phantom04,0.6204,0.4023,0.4881,0.4055,0.342,39.6,40.23
w/o LT,phantom05,0.4277,0.1495,0.2216,0.1584,0.1301,24.39,14.95
w/o LT,phantom06,0.9943,0.97,0.982,0.9601,0.772,222.94,97.0
w/o LT,phantom08,0.5981,0.2611,0.3635,0.2673,0.2034,22.81,24.78
w/o LT,phantom09,0.8051,0.5686,0.6664,0.5743,0.4758,42.28,56.48
w/o LT,phantom10,0.2908,0.1802,0.2225,0.1881,0.2816,26.11,18.02
w/o LT,phantom12,0.9954,1.0,0.9977,0.9896,0.8194,234.73,97.11
w/o LT,phantom13,0.9906,1.0,0.9953,0.9896,0.801,171.11,93.77
w/o LT,phantom14,1.0,1.0,1.0,0.9895,0.7951,289.24,100.0
w/o LT,phantom16,0.997,0.9994,0.9982,0.9898,0.7921,171.53,93.55
w/o LT,phantom19,0.2192,0.0487,0.0796,0.0594,0.0866,26.12,4.87
w/o LT,phantom20,0.7846,0.6524,0.7124,0.6633,0.499,106.96,65.24
w/o LT,phantom22,0.6985,0.5257,0.5999,0.5346,0.4321,72.68,52.57
w/o LT,phantom23,0.9956,0.9995,0.9976,0.9899,0.8254,228.54,98.0
w/o LT,phantom28,0.9812,0.8718,0.9233,0.8705,0.6898,128.01,87.18
w/o LT,phantom29,0.9976,0.9964,0.997,0.9896,0.7605,175.52,93.38
w/o LT,phantom30,0.9959,0.966,0.9807,0.96,0.7713,220.58,96.6
w/o LT,phantom32,0.991,0.952,0.9711,0.9505,0.7089,184.92,95.2
w/o LT,phantom36,0.8874,0.8065,0.845,0.8114,0.5893,120.0,80.65
w/o LT,phantom38,0.698,0.327,0.4454,0.3366,0.2545,38.52,32.7
w/o LT,phantom39,0.7721,0.5248,0.6249,0.5247,0.4093,62.79,52.48
w/o LT,phantom40,0.9985,0.9985,0.9985,0.9899,0.8069,286.52,99.85
w/o LT,phantom41,0.1132,0.0295,0.0468,0.0396,0.0732,26.09,2.95
w/o LT,phantom42,0.9764,0.9783,0.9774,0.9697,0.6898,244.06,96.53
w/o LT,phantom43,0.1436,0.0478,0.0717,0.0594,0.0684,25.77,4.78
w/o LT,phantom44,0.9156,0.8691,0.8917,0.8609,0.6631,169.83,86.91
w/o LT,phantom45,0.9226,0.8399,0.8793,0.8413,0.6038,146.07,83.99
w/o LT,phantom46,0.1974,0.0584,0.0901,0.0693,0.1144,30.86,5.84
w/o LT,phantom47,0.8972,0.6959,0.7838,0.6931,0.5278,52.48,67.44
w/o LT,phantom49,0.888,0.8576,0.8725,0.8515,0.6129,108.35,80.07
w/o LT,phantom50,0.6374,0.4259,0.5106,0.4255,0.3614,48.89,42.05
w/o LT,phantom51,0.9371,0.9041,0.9203,0.9004,0.6604,160.87,87.04
w/o LT,phantom54,0.7469,0.5679,0.6452,0.5743,0.4482,65.81,56.79
w/o LT,phantom55,0.7361,0.6745,0.7039,0.6731,0.5515,74.72,67.45
w/o LT,phantom56,0.6939,0.5867,0.6358,0.5938,0.5023,65.49,58.67
w/o LT,phantom57,0.9396,0.9338,0.9367,0.9305,0.6766,235.4,93.38
w/o LT,phantom58,0.4796,0.1587,0.2385,0.1683,0.1646,28.85,15.87
w/o LT,phantom59,0.9304,0.7727,0.8442,0.7723,0.5505,102.83,77.27
w/o LT,phantom60,0.826,0.3528,0.4944,0.3564,0.2808,36.58,35.28
w/o LT,phantom61,0.6987,0.356,0.4716,0.3659,0.2797,45.0,35.6
w/o LT,phantom63,0.0458,0.0117,0.0186,0.0198,0.0667,26.38,1.17
w/o LT,phantom64,0.4149,0.2075,0.2766,0.2074,0.2085,30.98,20.75
w/o LT,phantom65,0.4214,0.2819,0.3378,0.297,0.3067,33.85,28.19
w/o LT,phantom66,0.8273,0.7772,0.8015,0.7821,0.57,164.95,77.72
